Domain,Area,Year,Unit,Value,Flag Description
Fertilizers by Product,Afghanistan,2002,t,17900.0,Imputed value
Fertilizers by Product,Afghanistan,2003,t,33200.0,Imputed value
Fertilizers by Product,Afghanistan,2004,t,47700.0,Imputed value
Fertilizers by Product,Afghanistan,2004,t,42300.0,Imputed value
Fertilizers by Product,Afghanistan,2005,t,20577.0,Imputed value
Fertilizers by Product,Afghanistan,2006,t,68253.0,Imputed value
Fertilizers by Product,Afghanistan,2007,t,61315.0,Imputed value
Fertilizers by Product,Afghanistan,2008,t,50628.0,Imputed value
Fertilizers by Product,Afghanistan,2009,t,76599.0,Imputed value
Fertilizers by Product,Afghanistan,2010,t,72084.0,Imputed value
Fertilizers by Product,Afghanistan,2011,t,107228.0,Imputed value
Fertilizers by Product,Afghanistan,2018,t,519122.0,Official figure
Fertilizers by Product,Albania,2002,t,46293.0,Official figure
Fertilizers by Product,Albania,2003,t,44687.0,Official figure
Fertilizers by Product,Albania,2004,t,44401.0,Official figure
Fertilizers by Product,Albania,2005,t,46582.0,Official figure
Fertilizers by Product,Albania,2006,t,35515.0,Official figure
Fertilizers by Product,Albania,2007,t,36037.0,Official figure
Fertilizers by Product,Albania,2008,t,33689.0,Official figure
Fertilizers by Product,Albania,2009,t,38464.0,Official figure
Fertilizers by Product,Albania,2010,t,34993.0,Official figure
Fertilizers by Product,Albania,2011,t,36736.0,Official figure
Fertilizers by Product,Albania,2012,t,35791.0,Official figure
Fertilizers by Product,Albania,2013,t,32864.2,Official figure
Fertilizers by Product,Albania,2014,t,32864.0,Official figure
Fertilizers by Product,Albania,2015,t,37586.0,Imputed value
Fertilizers by Product,Albania,2016,t,42308.0,Official figure
Fertilizers by Product,Albania,2017,t,43967.0,Official figure
Fertilizers by Product,Albania,2018,t,14116.8,Official figure
Fertilizers by Product,Albania,2019,t,29782.84,Official figure
Fertilizers by Product,Albania,2020,t,20077.0,Official figure
Fertilizers by Product,Albania,2005,t,18.0,Imputed value
Fertilizers by Product,Albania,2006,t,45.0,Imputed value
Fertilizers by Product,Albania,2007,t,54.0,Imputed value
Fertilizers by Product,Albania,2017,t,199.9,Official figure
Fertilizers by Product,Albania,2018,t,261.99,Official figure
Fertilizers by Product,Albania,2019,t,757.6,Official figure
Fertilizers by Product,Albania,2020,t,913.0,Official figure
Fertilizers by Product,Albania,2005,t,2.0,Imputed value
Fertilizers by Product,Albania,2006,t,5.0,Imputed value
Fertilizers by Product,Albania,2007,t,118.0,Imputed value
Fertilizers by Product,Albania,2019,t,470.4,Official figure
Fertilizers by Product,Albania,2002,t,39537.0,Official figure
Fertilizers by Product,Albania,2003,t,43540.0,Official figure
Fertilizers by Product,Albania,2004,t,25928.0,Official figure
Fertilizers by Product,Albania,2005,t,27535.0,Official figure
Fertilizers by Product,Albania,2006,t,22952.0,Official figure
Fertilizers by Product,Albania,2007,t,23957.0,Official figure
Fertilizers by Product,Albania,2008,t,20696.0,Official figure
Fertilizers by Product,Albania,2009,t,24710.0,Official figure
Fertilizers by Product,Albania,2010,t,26889.0,Official figure
Fertilizers by Product,Albania,2011,t,29262.0,Official figure
Fertilizers by Product,Albania,2012,t,25657.0,Official figure
Fertilizers by Product,Albania,2013,t,26460.9,Official figure
Fertilizers by Product,Albania,2014,t,26461.0,Official figure
Fertilizers by Product,Albania,2015,t,30010.5,Imputed value
Fertilizers by Product,Albania,2016,t,33560.0,Official figure
Fertilizers by Product,Albania,2017,t,3181.0,Official figure
Fertilizers by Product,Albania,2018,t,7938.55,Official figure
Fertilizers by Product,Albania,2019,t,15886.0,Official figure
Fertilizers by Product,Albania,2020,t,11039.0,Official figure
Fertilizers by Product,Albania,2006,t,24.0,Imputed value
Fertilizers by Product,Albania,2007,t,71.0,Imputed value
Fertilizers by Product,Albania,2004,t,754.0,Official figure
Fertilizers by Product,Albania,2005,t,743.0,Official figure
Fertilizers by Product,Albania,2006,t,947.0,Official figure
Fertilizers by Product,Albania,2007,t,2172.0,Official figure
Fertilizers by Product,Albania,2008,t,2824.0,Official figure
Fertilizers by Product,Albania,2009,t,1650.0,Official figure
Fertilizers by Product,Albania,2010,t,1994.0,Official figure
Fertilizers by Product,Albania,2011,t,2468.0,Official figure
Fertilizers by Product,Albania,2012,t,3366.0,Official figure
Fertilizers by Product,Albania,2013,t,3520.0,Official figure
Fertilizers by Product,Albania,2014,t,3520.0,Official figure
Fertilizers by Product,Albania,2015,t,3560.0,Imputed value
Fertilizers by Product,Albania,2016,t,3600.0,Official figure
Fertilizers by Product,Albania,2017,t,2105.0,Official figure
Fertilizers by Product,Albania,2018,t,15039.1,Official figure
Fertilizers by Product,Albania,2019,t,25400.0,Official figure
Fertilizers by Product,Albania,2020,t,32677.0,Official figure
Fertilizers by Product,Albania,2007,t,1997.0,Imputed value
Fertilizers by Product,Albania,2008,t,2727.0,Imputed value
Fertilizers by Product,Albania,2009,t,1835.0,Imputed value
Fertilizers by Product,Albania,2005,t,1500.0,Imputed value
Fertilizers by Product,Albania,2006,t,38.0,Imputed value
Fertilizers by Product,Albania,2007,t,148.0,Imputed value
Fertilizers by Product,Albania,2005,t,26.0,Imputed value
Fertilizers by Product,Albania,2006,t,27.0,Imputed value
Fertilizers by Product,Albania,2007,t,10.0,Imputed value
Fertilizers by Product,Albania,2018,t,381.31,Official figure
Fertilizers by Product,Albania,2019,t,543.98,Official figure
Fertilizers by Product,Albania,2020,t,370.0,Official figure
Fertilizers by Product,Albania,2005,t,9.0,Imputed value
Fertilizers by Product,Albania,2006,t,39.0,Imputed value
Fertilizers by Product,Albania,2007,t,11.0,Imputed value
Fertilizers by Product,Albania,2005,t,147.0,Imputed value
Fertilizers by Product,Albania,2006,t,89.0,Imputed value
Fertilizers by Product,Albania,2007,t,4.0,Imputed value
Fertilizers by Product,Albania,2013,t,528.0,Official figure
Fertilizers by Product,Albania,2014,t,528.0,Official figure
Fertilizers by Product,Albania,2015,t,527.5,Imputed value
Fertilizers by Product,Albania,2016,t,527.0,Official figure
Fertilizers by Product,Albania,2017,t,637.0,Official figure
Fertilizers by Product,Albania,2018,t,189.45,Official figure
Fertilizers by Product,Albania,2019,t,108.44,Official figure
Fertilizers by Product,Albania,2020,t,431.0,Official figure
Fertilizers by Product,Albania,2019,t,13.93,Official figure
Fertilizers by Product,Albania,2004,t,22354.0,Official figure
Fertilizers by Product,Albania,2005,t,22518.0,Official figure
Fertilizers by Product,Albania,2006,t,19419.0,Official figure
Fertilizers by Product,Albania,2007,t,17285.0,Official figure
Fertilizers by Product,Albania,2008,t,17493.0,Official figure
Fertilizers by Product,Albania,2009,t,20084.0,Official figure
Fertilizers by Product,Albania,2010,t,19490.0,Official figure
Fertilizers by Product,Albania,2011,t,20675.0,Official figure
Fertilizers by Product,Albania,2012,t,21431.0,Official figure
Fertilizers by Product,Albania,2013,t,22187.95,Official figure
Fertilizers by Product,Albania,2014,t,22188.0,Official figure
Fertilizers by Product,Albania,2015,t,31275.0,Imputed value
Fertilizers by Product,Albania,2016,t,40362.0,Official figure
Fertilizers by Product,Albania,2017,t,42358.0,Official figure
Fertilizers by Product,Albania,2018,t,16196.67,Official figure
Fertilizers by Product,Albania,2019,t,8631.0,Official figure
Fertilizers by Product,Albania,2020,t,28085.0,Official figure
Fertilizers by Product,Albania,2005,t,11059.0,Imputed value
Fertilizers by Product,Albania,2006,t,11797.0,Imputed value
Fertilizers by Product,Albania,2007,t,15897.0,Imputed value
Fertilizers by Product,Albania,2002,t,33896.0,Official figure
Fertilizers by Product,Albania,2003,t,31676.0,Official figure
Fertilizers by Product,Albania,2004,t,35794.0,Official figure
Fertilizers by Product,Albania,2005,t,35952.0,Official figure
Fertilizers by Product,Albania,2006,t,30789.0,Official figure
Fertilizers by Product,Albania,2007,t,32116.0,Official figure
Fertilizers by Product,Albania,2008,t,28935.0,Official figure
Fertilizers by Product,Albania,2009,t,35564.0,Official figure
Fertilizers by Product,Albania,2010,t,31371.0,Official figure
Fertilizers by Product,Albania,2011,t,41193.0,Official figure
Fertilizers by Product,Albania,2012,t,38763.0,Official figure
Fertilizers by Product,Albania,2013,t,31329.23,Official figure
Fertilizers by Product,Albania,2014,t,31329.0,Official figure
Fertilizers by Product,Albania,2015,t,39732.0,Imputed value
Fertilizers by Product,Albania,2016,t,48135.0,Official figure
Fertilizers by Product,Albania,2017,t,51234.0,Official figure
Fertilizers by Product,Albania,2018,t,35435.04,Official figure
Fertilizers by Product,Albania,2019,t,46520.0,Official figure
Fertilizers by Product,Albania,2020,t,40810.0,Official figure
Fertilizers by Product,Algeria,2012,t,0.0,Estimated value
Fertilizers by Product,Algeria,2013,t,0.0,Estimated value
Fertilizers by Product,Algeria,2014,t,0.0,Estimated value
Fertilizers by Product,Algeria,2015,t,0.0,Estimated value
Fertilizers by Product,Algeria,2016,t,0.0,Estimated value
Fertilizers by Product,Algeria,2009,t,7004.0,Imputed value
Fertilizers by Product,Algeria,2010,t,24541.0,Imputed value
Fertilizers by Product,Algeria,2011,t,49000.0,Imputed value
Fertilizers by Product,Algeria,2012,t,13000.0,Estimated value
Fertilizers by Product,Algeria,2013,t,13000.0,Estimated value
Fertilizers by Product,Algeria,2014,t,85000.0,Estimated value
Fertilizers by Product,Algeria,2015,t,85000.0,Imputed value
Fertilizers by Product,Algeria,2016,t,85000.0,Imputed value
Fertilizers by Product,Algeria,2009,t,7946.0,Imputed value
Fertilizers by Product,Algeria,2010,t,6102.0,Imputed value
Fertilizers by Product,Algeria,2011,t,8228.53,Imputed value
Fertilizers by Product,Algeria,2007,t,1000.0,Imputed value
Fertilizers by Product,Algeria,2008,t,1000.0,Imputed value
Fertilizers by Product,Algeria,2009,t,3300.0,Imputed value
Fertilizers by Product,Algeria,2010,t,59.96,Imputed value
Fertilizers by Product,Algeria,2012,t,9000.0,Estimated value
Fertilizers by Product,Algeria,2013,t,9000.0,Estimated value
Fertilizers by Product,Algeria,2014,t,9000.0,Estimated value
Fertilizers by Product,Algeria,2015,t,9000.0,Imputed value
Fertilizers by Product,Algeria,2016,t,9000.0,Imputed value
Fertilizers by Product,Algeria,2007,t,7681.0,Imputed value
Fertilizers by Product,Algeria,2009,t,3432.0,Imputed value
Fertilizers by Product,Algeria,2010,t,7048.96,Imputed value
Fertilizers by Product,Algeria,2011,t,9953.02,Imputed value
Fertilizers by Product,Algeria,2007,t,61000.0,Imputed value
Fertilizers by Product,Algeria,2008,t,42000.0,Imputed value
Fertilizers by Product,Algeria,2009,t,40242.0,Imputed value
Fertilizers by Product,Algeria,2010,t,80960.0,Imputed value
Fertilizers by Product,Algeria,2011,t,48000.0,Imputed value
Fertilizers by Product,Algeria,2012,t,190069.1,Imputed value
Fertilizers by Product,Algeria,2013,t,203395.15,Imputed value
Fertilizers by Product,Algeria,2014,t,199893.27,Imputed value
Fertilizers by Product,Algeria,2015,t,178451.28,Imputed value
Fertilizers by Product,Algeria,2016,t,158115.0,Imputed value
Fertilizers by Product,Algeria,2007,t,31.0,Imputed value
Fertilizers by Product,Algeria,2008,t,8078.0,Imputed value
Fertilizers by Product,Algeria,2009,t,6.0,Imputed value
Fertilizers by Product,Algeria,2011,t,10080.22,Imputed value
Fertilizers by Product,Algeria,2012,t,0.0,Estimated value
Fertilizers by Product,Algeria,2013,t,0.0,Estimated value
Fertilizers by Product,Algeria,2014,t,0.0,Estimated value
Fertilizers by Product,Algeria,2015,t,0.0,Estimated value
Fertilizers by Product,Algeria,2016,t,0.0,Estimated value
Fertilizers by Product,Algeria,2008,t,38.0,Imputed value
Fertilizers by Product,Algeria,2009,t,2657.0,Imputed value
Fertilizers by Product,Algeria,2010,t,3517.0,Imputed value
Fertilizers by Product,Algeria,2011,t,6545.93,Imputed value
Fertilizers by Product,Algeria,2010,t,4215.0,Imputed value
Fertilizers by Product,Algeria,2011,t,4684.39,Imputed value
Fertilizers by Product,Algeria,2012,t,2.0,Estimated value
Fertilizers by Product,Algeria,2010,t,246.0,Imputed value
Fertilizers by Product,Algeria,2011,t,264.91,Imputed value
Fertilizers by Product,Algeria,2006,t,34417.0,Imputed value
Fertilizers by Product,Algeria,2008,t,26051.0,Imputed value
Fertilizers by Product,Algeria,2009,t,22168.0,Imputed value
Fertilizers by Product,Algeria,2010,t,29293.25,Imputed value
Fertilizers by Product,Algeria,2011,t,39767.83,Imputed value
Fertilizers by Product,Algeria,2007,t,70000.0,Imputed value
Fertilizers by Product,Algeria,2009,t,32810.0,Imputed value
Fertilizers by Product,Algeria,2010,t,15000.0,Imputed value
Fertilizers by Product,Algeria,2011,t,26576.0,Imputed value
Fertilizers by Product,Algeria,2012,t,39000.0,Estimated value
Fertilizers by Product,Algeria,2013,t,36000.0,Estimated value
Fertilizers by Product,Algeria,2014,t,36000.0,Estimated value
Fertilizers by Product,Algeria,2015,t,36000.0,Imputed value
Fertilizers by Product,Algeria,2016,t,36000.0,Imputed value
Fertilizers by Product,Algeria,2007,t,7000.0,Imputed value
Fertilizers by Product,Algeria,2009,t,10000.0,Imputed value
Fertilizers by Product,Algeria,2010,t,15000.0,Imputed value
Fertilizers by Product,Algeria,2012,t,0.0,Estimated value
Fertilizers by Product,Algeria,2013,t,0.0,Estimated value
Fertilizers by Product,Algeria,2014,t,0.0,Estimated value
Fertilizers by Product,Algeria,2015,t,0.0,Imputed value
Fertilizers by Product,Algeria,2016,t,0.0,Imputed value
Fertilizers by Product,Algeria,2009,t,60729.0,Imputed value
Fertilizers by Product,Algeria,2010,t,86279.0,Imputed value
Fertilizers by Product,Algeria,2011,t,81131.01,Imputed value
Fertilizers by Product,Algeria,2012,t,62000.0,Estimated value
Fertilizers by Product,Algeria,2013,t,60000.0,Estimated value
Fertilizers by Product,Algeria,2014,t,92000.0,Estimated value
Fertilizers by Product,Algeria,2015,t,92000.0,Imputed value
Fertilizers by Product,Algeria,2016,t,92000.0,Imputed value
Fertilizers by Product,Algeria,2007,t,1.0,Imputed value
Fertilizers by Product,Algeria,2012,t,11000.0,Estimated value
Fertilizers by Product,Algeria,2013,t,5000.0,Estimated value
Fertilizers by Product,Algeria,2014,t,3000.0,Estimated value
Fertilizers by Product,Algeria,2015,t,3000.0,Imputed value
Fertilizers by Product,Algeria,2016,t,3000.0,Imputed value
Fertilizers by Product,Angola,2006,t,4926.0,Imputed value
Fertilizers by Product,Angola,2009,t,7275.0,Imputed value
Fertilizers by Product,Angola,2010,t,3210.0,Imputed value
Fertilizers by Product,Angola,2011,t,4936.54,Imputed value
Fertilizers by Product,Angola,2006,t,8213.0,Imputed value
Fertilizers by Product,Angola,2009,t,10563.0,Imputed value
Fertilizers by Product,Angola,2010,t,32674.0,Imputed value
Fertilizers by Product,Angola,2011,t,16213.86,Imputed value
Fertilizers by Product,Angola,2007,t,50.0,Imputed value
Fertilizers by Product,Angola,2008,t,5.0,Imputed value
Fertilizers by Product,Angola,2009,t,35.0,Imputed value
Fertilizers by Product,Angola,2011,t,20.34,Imputed value
Fertilizers by Product,Angola,2007,t,51.0,Imputed value
Fertilizers by Product,Angola,2009,t,1.0,Imputed value
Fertilizers by Product,Angola,2010,t,1.0,Imputed value
Fertilizers by Product,Angola,2011,t,47.66,Imputed value
Fertilizers by Product,Angola,2008,t,23.0,Imputed value
Fertilizers by Product,Angola,2009,t,12.0,Imputed value
Fertilizers by Product,Angola,2010,t,80.0,Imputed value
Fertilizers by Product,Angola,2011,t,20.71,Imputed value
Fertilizers by Product,Angola,2006,t,9095.0,Imputed value
Fertilizers by Product,Angola,2007,t,14424.0,Imputed value
Fertilizers by Product,Angola,2008,t,25486.0,Imputed value
Fertilizers by Product,Angola,2009,t,33418.0,Imputed value
Fertilizers by Product,Angola,2010,t,55821.0,Imputed value
Fertilizers by Product,Angola,2011,t,26837.24,Imputed value
Fertilizers by Product,Angola,2006,t,33.0,Imputed value
Fertilizers by Product,Angola,2007,t,245.0,Imputed value
Fertilizers by Product,Angola,2008,t,158.0,Imputed value
Fertilizers by Product,Angola,2009,t,1.0,Imputed value
Fertilizers by Product,Angola,2010,t,44.0,Imputed value
Fertilizers by Product,Angola,2011,t,81.43,Imputed value
Fertilizers by Product,Angola,2007,t,634.0,Imputed value
Fertilizers by Product,Angola,2008,t,82.0,Imputed value
Fertilizers by Product,Angola,2009,t,152.0,Imputed value
Fertilizers by Product,Angola,2010,t,35.0,Imputed value
Fertilizers by Product,Angola,2011,t,43501.32,Imputed value
Fertilizers by Product,Angola,2005,t,5000.0,Imputed value
Fertilizers by Product,Angola,2006,t,4482.0,Imputed value
Fertilizers by Product,Angola,2010,t,276.0,Imputed value
Fertilizers by Product,Angola,2011,t,6817.96,Imputed value
Fertilizers by Product,Angola,2007,t,3.0,Imputed value
Fertilizers by Product,Angola,2008,t,5.0,Imputed value
Fertilizers by Product,Angola,2009,t,26.0,Imputed value
Fertilizers by Product,Angola,2010,t,3.0,Imputed value
Fertilizers by Product,Angola,2011,t,100.03,Imputed value
Fertilizers by Product,Angola,2009,t,53.0,Imputed value
Fertilizers by Product,Angola,2010,t,32.0,Imputed value
Fertilizers by Product,Angola,2011,t,25.62,Imputed value
Fertilizers by Product,Angola,2006,t,4.0,Imputed value
Fertilizers by Product,Angola,2007,t,64.0,Imputed value
Fertilizers by Product,Angola,2008,t,53.0,Imputed value
Fertilizers by Product,Angola,2009,t,71.0,Imputed value
Fertilizers by Product,Angola,2010,t,425.0,Imputed value
Fertilizers by Product,Angola,2011,t,241.84,Imputed value
Fertilizers by Product,Angola,2005,t,4000.0,Imputed value
Fertilizers by Product,Angola,2006,t,4156.0,Imputed value
Fertilizers by Product,Angola,2009,t,1318.0,Imputed value
Fertilizers by Product,Angola,2010,t,2283.0,Imputed value
Fertilizers by Product,Angola,2011,t,7029.42,Imputed value
Fertilizers by Product,Angola,2006,t,24.0,Imputed value
Fertilizers by Product,Angola,2009,t,640.0,Imputed value
Fertilizers by Product,Angola,2011,t,3.62,Imputed value
Fertilizers by Product,Antigua and Barbuda,2005,t,6.0,Imputed value
Fertilizers by Product,Antigua and Barbuda,2006,t,12.0,Imputed value
Fertilizers by Product,Antigua and Barbuda,2007,t,4.0,Imputed value
Fertilizers by Product,Antigua and Barbuda,2006,t,2.0,Imputed value
Fertilizers by Product,Antigua and Barbuda,2011,t,10.0,Imputed value
Fertilizers by Product,Antigua and Barbuda,2005,t,7.0,Imputed value
Fertilizers by Product,Antigua and Barbuda,2006,t,31.0,Imputed value
Fertilizers by Product,Antigua and Barbuda,2008,t,2.0,Imputed value
Fertilizers by Product,Antigua and Barbuda,2009,t,97.0,Imputed value
Fertilizers by Product,Antigua and Barbuda,2010,t,25.0,Imputed value
Fertilizers by Product,Antigua and Barbuda,2011,t,13.0,Imputed value
Fertilizers by Product,Antigua and Barbuda,2005,t,19.0,Imputed value
Fertilizers by Product,Antigua and Barbuda,2007,t,1.0,Imputed value
Fertilizers by Product,Antigua and Barbuda,2008,t,17.0,Imputed value
Fertilizers by Product,Antigua and Barbuda,2011,t,1.0,Imputed value
Fertilizers by Product,Antigua and Barbuda,2009,t,1.0,Imputed value
Fertilizers by Product,Antigua and Barbuda,2011,t,1.0,Imputed value
Fertilizers by Product,Antigua and Barbuda,2005,t,1.0,Imputed value
Fertilizers by Product,Antigua and Barbuda,2005,t,24.0,Imputed value
Fertilizers by Product,Antigua and Barbuda,2006,t,4.0,Imputed value
Fertilizers by Product,Antigua and Barbuda,2007,t,0.0,Imputed value
Fertilizers by Product,Argentina,2004,t,194189.0,Imputed value
Fertilizers by Product,Argentina,2005,t,224154.0,Imputed value
Fertilizers by Product,Argentina,2006,t,242610.0,Imputed value
Fertilizers by Product,Argentina,2009,t,82196.0,Imputed value
Fertilizers by Product,Argentina,2004,t,115064.0,Imputed value
Fertilizers by Product,Argentina,2005,t,53833.0,Imputed value
Fertilizers by Product,Argentina,2006,t,85753.0,Imputed value
Fertilizers by Product,Argentina,2009,t,4132.0,Imputed value
Fertilizers by Product,Argentina,2010,t,52524.0,Official figure
Fertilizers by Product,Argentina,2011,t,50889.0,Official figure
Fertilizers by Product,Argentina,2012,t,35606.0,Official figure
Fertilizers by Product,Argentina,2013,t,20427.0,Official figure
Fertilizers by Product,Argentina,2014,t,40010.0,Official figure
Fertilizers by Product,Argentina,2015,t,14399.0,Official figure
Fertilizers by Product,Argentina,2016,t,51626.0,Official figure
Fertilizers by Product,Argentina,2017,t,39489.0,Official figure
Fertilizers by Product,Argentina,2018,t,37774.0,Estimated value
Fertilizers by Product,Argentina,2019,t,42192.0,Official figure
Fertilizers by Product,Argentina,2020,t,39777.0,Official figure
Fertilizers by Product,Argentina,2004,t,20257.0,Imputed value
Fertilizers by Product,Argentina,2005,t,46064.0,Imputed value
Fertilizers by Product,Argentina,2006,t,36400.0,Imputed value
Fertilizers by Product,Argentina,2007,t,87133.0,Imputed value
Fertilizers by Product,Argentina,2008,t,75241.0,Imputed value
Fertilizers by Product,Argentina,2009,t,43139.0,Imputed value
Fertilizers by Product,Argentina,2010,t,75021.0,Official figure
Fertilizers by Product,Argentina,2011,t,53381.0,Official figure
Fertilizers by Product,Argentina,2012,t,64684.0,Official figure
Fertilizers by Product,Argentina,2013,t,64312.0,Official figure
Fertilizers by Product,Argentina,2014,t,66864.0,Official figure
Fertilizers by Product,Argentina,2015,t,48740.0,Official figure
Fertilizers by Product,Argentina,2016,t,89089.0,Official figure
Fertilizers by Product,Argentina,2017,t,103095.0,Official figure
Fertilizers by Product,Argentina,2018,t,128830.0,Estimated value
Fertilizers by Product,Argentina,2019,t,108947.0,Official figure
Fertilizers by Product,Argentina,2020,t,136730.0,Official figure
Fertilizers by Product,Argentina,2004,t,518283.0,Imputed value
Fertilizers by Product,Argentina,2005,t,422712.0,Imputed value
Fertilizers by Product,Argentina,2006,t,486951.0,Imputed value
Fertilizers by Product,Argentina,2007,t,486883.0,Imputed value
Fertilizers by Product,Argentina,2008,t,351457.0,Imputed value
Fertilizers by Product,Argentina,2009,t,123342.0,Imputed value
Fertilizers by Product,Argentina,2010,t,272258.0,Official figure
Fertilizers by Product,Argentina,2011,t,296032.0,Official figure
Fertilizers by Product,Argentina,2012,t,293336.0,Official figure
Fertilizers by Product,Argentina,2013,t,303007.0,Official figure
Fertilizers by Product,Argentina,2014,t,284658.0,Official figure
Fertilizers by Product,Argentina,2015,t,202634.0,Official figure
Fertilizers by Product,Argentina,2016,t,301022.0,Official figure
Fertilizers by Product,Argentina,2017,t,273730.0,Official figure
Fertilizers by Product,Argentina,2018,t,271150.0,Estimated value
Fertilizers by Product,Argentina,2019,t,290916.0,Official figure
Fertilizers by Product,Argentina,2020,t,341949.0,Official figure
Fertilizers by Product,Argentina,2019,t,224781.0,Official figure
Fertilizers by Product,Argentina,2004,t,426533.0,Imputed value
Fertilizers by Product,Argentina,2005,t,360222.0,Imputed value
Fertilizers by Product,Argentina,2006,t,452917.0,Imputed value
Fertilizers by Product,Argentina,2007,t,685200.0,Imputed value
Fertilizers by Product,Argentina,2008,t,328947.0,Imputed value
Fertilizers by Product,Argentina,2009,t,369145.0,Imputed value
Fertilizers by Product,Argentina,2010,t,610445.0,Official figure
Fertilizers by Product,Argentina,2011,t,716188.0,Official figure
Fertilizers by Product,Argentina,2012,t,584963.0,Official figure
Fertilizers by Product,Argentina,2013,t,554986.0,Official figure
Fertilizers by Product,Argentina,2014,t,538684.0,Official figure
Fertilizers by Product,Argentina,2015,t,435557.0,Official figure
Fertilizers by Product,Argentina,2016,t,738640.0,Official figure
Fertilizers by Product,Argentina,2017,t,763132.0,Official figure
Fertilizers by Product,Argentina,2018,t,829033.0,Estimated value
Fertilizers by Product,Argentina,2019,t,941154.0,Official figure
Fertilizers by Product,Argentina,2020,t,1060364.0,Official figure
Fertilizers by Product,Argentina,2004,t,18423.0,Imputed value
Fertilizers by Product,Argentina,2005,t,17777.0,Imputed value
Fertilizers by Product,Argentina,2006,t,12057.0,Imputed value
Fertilizers by Product,Argentina,2007,t,6686.0,Imputed value
Fertilizers by Product,Argentina,2008,t,8428.0,Imputed value
Fertilizers by Product,Argentina,2009,t,4718.0,Imputed value
Fertilizers by Product,Argentina,2010,t,62342.0,Imputed value
Fertilizers by Product,Argentina,2011,t,93900.0,Imputed value
Fertilizers by Product,Argentina,2014,t,63986.0,Estimated value
Fertilizers by Product,Argentina,2015,t,52648.17,Estimated value
Fertilizers by Product,Argentina,2016,t,81653.0,Official figure
Fertilizers by Product,Argentina,2017,t,98814.0,Official figure
Fertilizers by Product,Argentina,2018,t,84271.0,Estimated value
Fertilizers by Product,Argentina,2019,t,78655.0,Official figure
Fertilizers by Product,Argentina,2020,t,121459.0,Official figure
Fertilizers by Product,Argentina,2014,t,19147.0,Estimated value
Fertilizers by Product,Argentina,2015,t,60184.67,Estimated value
Fertilizers by Product,Argentina,2016,t,119477.0,Imputed value
Fertilizers by Product,Argentina,2017,t,174403.0,Imputed value
Fertilizers by Product,Argentina,2018,t,194323.0,Imputed value
Fertilizers by Product,Argentina,2019,t,176187.0,Imputed value
Fertilizers by Product,Argentina,2004,t,14300.0,Imputed value
Fertilizers by Product,Argentina,2005,t,74079.0,Imputed value
Fertilizers by Product,Argentina,2006,t,35402.0,Imputed value
Fertilizers by Product,Argentina,2007,t,135681.0,Imputed value
Fertilizers by Product,Argentina,2008,t,103414.0,Imputed value
Fertilizers by Product,Argentina,2009,t,43427.0,Imputed value
Fertilizers by Product,Argentina,2010,t,103057.0,Imputed value
Fertilizers by Product,Argentina,2011,t,150527.0,Imputed value
Fertilizers by Product,Argentina,2014,t,108902.0,Estimated value
Fertilizers by Product,Argentina,2015,t,13598.76,Estimated value
Fertilizers by Product,Argentina,2016,t,54389.0,Official figure
Fertilizers by Product,Argentina,2017,t,50660.0,Official figure
Fertilizers by Product,Argentina,2018,t,42440.0,Estimated value
Fertilizers by Product,Argentina,2019,t,78653.0,Official figure
Fertilizers by Product,Argentina,2020,t,96054.0,Official figure
Fertilizers by Product,Argentina,2014,t,1080.0,Estimated value
Fertilizers by Product,Argentina,2015,t,2178.18,Estimated value
Fertilizers by Product,Argentina,2016,t,16151.65,Estimated value
Fertilizers by Product,Argentina,2017,t,28406.0,Estimated value
Fertilizers by Product,Argentina,2018,t,28483.0,Estimated value
Fertilizers by Product,Argentina,2019,t,28750.0,Estimated value
Fertilizers by Product,Argentina,2004,t,26112.0,Imputed value
Fertilizers by Product,Argentina,2005,t,46821.0,Imputed value
Fertilizers by Product,Argentina,2006,t,26481.0,Imputed value
Fertilizers by Product,Argentina,2009,t,11672.0,Imputed value
Fertilizers by Product,Argentina,2010,t,21989.0,Official figure
Fertilizers by Product,Argentina,2011,t,17362.0,Official figure
Fertilizers by Product,Argentina,2012,t,41491.0,Official figure
Fertilizers by Product,Argentina,2013,t,27154.0,Official figure
Fertilizers by Product,Argentina,2014,t,21193.0,Official figure
Fertilizers by Product,Argentina,2015,t,37064.0,Official figure
Fertilizers by Product,Argentina,2016,t,23589.0,Official figure
Fertilizers by Product,Argentina,2017,t,28067.0,Official figure
Fertilizers by Product,Argentina,2018,t,27614.0,Estimated value
Fertilizers by Product,Argentina,2019,t,25732.0,Official figure
Fertilizers by Product,Argentina,2020,t,37720.0,Official figure
Fertilizers by Product,Argentina,2004,t,20983.0,Imputed value
Fertilizers by Product,Argentina,2005,t,20965.0,Imputed value
Fertilizers by Product,Argentina,2006,t,24856.0,Imputed value
Fertilizers by Product,Argentina,2007,t,25956.0,Imputed value
Fertilizers by Product,Argentina,2008,t,16209.0,Imputed value
Fertilizers by Product,Argentina,2009,t,6671.0,Imputed value
Fertilizers by Product,Argentina,2010,t,12396.0,Official figure
Fertilizers by Product,Argentina,2011,t,14887.0,Official figure
Fertilizers by Product,Argentina,2012,t,10896.0,Official figure
Fertilizers by Product,Argentina,2013,t,19346.0,Official figure
